tick,reference_kpa,sensed_kpa
2190,101.325,259.813
2194,101.325,265.593
2198,101.325,234.26
2202,101.325,194.106
2206,101.325,203.232
2210,101.325,203.232
2214,101.325,246.428
2218,101.325,240.04
2222,101.325,217.225
2226,101.325,239.736
2230,101.325,252.512
2234,101.325,259.509
2238,101.325,230.61
2242,101.325,203.536
2246,101.325,233.044
2250,101.325,209.012
2254,101.325,238.215
2258,101.325,255.554
2262,101.325,266.201
2266,101.325,236.39
2270,101.325,224.83
2274,101.325,243.386
2278,101.325,262.247
2282,101.325,258.292
2286,101.325,235.173
2290,101.325,252.512
2294,101.325,261.638
2298,101.325,267.114
2302,101.325,250.383
2306,101.325,243.691
2310,101.325,255.554
2314,101.325,263.159
2318,101.325,247.949
2322,101.325,227.264
2326,101.325,248.254
2330,101.325,258.901
2334,101.325,265.593
2338,101.325,268.027
2342,101.325,222.092
2346,101.325,204.753
2350,101.325,230.61
2354,101.325,218.442
2358,101.325,244.603
2362,101.325,258.596
2366,101.325,244.603
2370,101.325,219.659
2374,101.325,245.82
2378,101.325,256.771
2382,200,270.46
2386,200,215.4
2390,200,201.711
2394,200,191.064
2398,200,221.18
2402,200,296.926
2406,200,260.726
2410,200,236.086
2414,200,243.995
2418,200,222.092
2422,200,242.474
2426,200,214.487
2430,200,223.005
2434,200,209.316
2438,200,233.956
2442,200,209.012
2446,200,233.348
2450,200,223.613
2454,200,243.691
2458,200,261.943
2462,200,251.6
2466,200,220.267
2470,200,233.956
2474,200,258.596
2478,200,265.593
2482,200,235.173
2486,200,206.882
2490,200,235.477
2494,200,210.533
2498,200,241.561
2502,200,255.25
2506,200,252.512
2510,200,219.659
2514,200,230.002
2518,200,247.341
2522,200,258.901
2526,200,267.418
2530,200,236.39
2534,200,215.096
2538,200,238.823
2542,200,212.662
2546,200,236.39
2550,200,231.218
2554,200,248.254
2558,200,259.813
2562,200,269.243
2566,200,225.743
2570,200,211.75
2574,200,230.002
2578,200,210.533
2582,200,233.348
2586,200,210.837
2590,200,234.869
2594,200,221.18
2598,200,241.865
2602,200,260.422
2606,200,256.467
2610,200,247.037
2614,200,253.729
2618,200,266.201
2622,200,268.331
2626,200,225.134
2630,200,200.494
2634,200,222.397
2638,200,211.141
2642,200,242.778
2646,200,252.208
2650,200,257.38
2654,200,208.099
2658,200,190.151
2662,200,217.834
2666,200,272.59
2670,200,271.981
2674,200,228.481
2678,200,210.229
2682,200,219.963
2686,200,200.19
2690,200,233.956
2694,200,212.662
2698,200,237.302
2702,200,249.166
2706,200,249.166
2710,200,220.267
2714,200,197.756
2718,200,220.267
2722,200,187.414
2726,200,236.694
2730,200,285.67
2734,200,280.499
2738,200,232.739
2742,200,247.645
2746,200,223.613
2750,200,235.477
2754,200,202.319
2758,200,218.138
2762,200,193.193
2766,200,230.61
2770,200,280.195
2774,200,281.411
2778,200,227.264
2782,200,198.365
2786,200,201.103
2790,200,240.344
2794,200,224.83
2798,200,240.04
2802,200,256.467
2806,200,253.425
2810,200,222.701
2814,200,202.624
2818,200,214.183
2822,200,199.582
2826,200,237.607
2830,200,271.069
2834,200,271.069
2838,200,242.778
2842,200,206.578
2846,200,215.4
2850,200,201.407
2854,200,210.533
2858,200,209.62
2862,200,235.173
2866,200,250.079
2870,200,258.292
2874,200,225.743
2878,200,216.921
2882,200,242.474
2886,200,255.859
2890,200,261.638
2894,200,222.701
2898,200,198.973
2902,200,254.642
2906,200,296.317
2910,200,286.279
2914,200,235.173
2918,200,224.526
2922,200,208.403
2926,200,186.197
2930,200,219.355
2934,200,273.502
2938,200,273.198
2942,200,235.781
2946,200,206.882
2950,200,234.869
2954,200,205.97
2958,200,225.134
2962,200,203.84
2966,200,235.477
2970,200,213.879
2974,200,227.568
2978,200,250.383
2982,200,233.348
2986,200,209.924
2990,200,234.565
2994,200,254.338
2998,200,259.813
3002,200,227.568
3006,200,202.015
3010,200,228.176
3014,200,205.057
3018,200,225.439
3022,200,251.904
3026,200,258.292
3030,200,220.876
3034,200,202.624
3038,200,221.18
3042,200,198.061
3046,200,230.61
3050,200,280.499
3054,200,287.495
3058,200,216.921
3062,200,195.627
3066,200,185.284
3070,200,264.072
3074,200,317.003
3078,200,223.613
3082,200,203.232
3086,200,184.676
3090,200,197.452
3094,200,307.573
3098,200,344.077
3102,200,242.17
3106,200,221.18
3110,200,202.015
3114,200,175.55
3118,200,169.466
3122,200,254.033
3126,200,246.733
3130,200,218.442
3134,200,238.215
3138,200,248.558
3142,200,258.596
3146,200,248.862
3150,200,219.963
3154,200,245.516
3158,200,254.033
3162,200,262.551
3166,200,259.813
3170,200,198.061
3174,200,188.022
3178,200,252.208
3182,200,309.398
3186,200,264.985
3190,200,236.39
3194,200,246.733
3198,200,218.746
3202,200,235.781
3206,200,226.047
3210,200,226.047
3214,200,250.079
3218,200,255.859
3222,200,258.901
3226,200,261.334
3230,200,262.855
3234,200,260.726
3238,200,255.25
3242,200,250.991
3246,200,243.386
3250,200,236.998
3254,200,233.044
3258,200,233.652
3262,200,231.827
3266,200,233.348
3270,200,234.26
3274,200,235.173
3278,200,235.173
3282,200,235.477
3286,200,235.173
3290,200,235.477
3294,200,235.477
3298,200,235.173
3302,200,235.477
3306,200,235.781
3310,200,236.086
3314,200,236.086
3318,200,235.781
3322,200,235.781
3326,200,236.086
3330,200,236.39
3334,200,236.694
3338,200,236.086
3342,200,236.086
3346,200,236.39
3350,200,236.694
3354,200,236.694
3358,200,236.39
3362,200,235.781
3366,200,236.086
3370,200,236.39
3374,200,236.694
3378,200,236.694
3382,200,236.694
3386,200,236.086
3390,200,235.477
3394,200,235.477
3398,200,236.086
3402,200,236.39
3406,200,236.694
3410,200,236.998
3414,200,236.998
3418,200,237.302
3422,200,237.302
3426,200,236.998
3430,200,236.694
3434,200,236.998
3438,200,236.998
3442,200,236.998
