timestamp,b0_0,b0_1,b0_2,b0_3,b1_0,b1_1,b1_2,b1_3,b2_0,b2_1,b2_2,b2_3,b2_4,b2_5,b2_6
1766910833.6123087,104.075,102.325,101.325,106.325,104.325,103.575,101.075,99.825,101.022,101.50175,101.40075,101.4765,246.85500000000002,38.9928,127.845
1766910833.622147,104.825,101.825,101.325,106.325,104.075,103.575,101.325,100.075,100.9715,101.4765,101.426,101.4765,246.85500000000002,41.8656,128.525
1766910833.6321797,104.825,101.825,101.325,106.325,104.075,103.575,101.325,100.075,100.9715,101.4765,101.426,101.4765,246.85500000000002,41.8656,128.525
1766910833.6421285,104.825,101.825,101.325,106.325,104.075,103.575,101.325,100.075,100.9715,101.4765,101.426,101.4765,246.85500000000002,41.8656,128.525
1766910833.652126,104.325,102.325,101.075,106.325,104.575,103.325,101.575,100.325,101.022,101.50175,101.426,101.45125,246.85500000000002,40.0512,128.525
1766910833.6620898,104.325,102.325,101.075,106.325,104.575,103.325,101.575,100.325,101.022,101.50175,101.426,101.45125,246.85500000000002,40.0512,128.525
1766910833.6721234,104.325,102.325,101.075,106.325,104.575,103.325,101.575,100.325,101.022,101.50175,101.426,101.45125,246.85500000000002,40.0512,128.525
1766910833.6821954,104.325,102.325,101.075,106.325,104.575,103.325,101.575,100.325,101.022,101.50175,101.426,101.45125,246.85500000000002,40.0512,128.525
1766910833.6922867,104.325,102.325,101.075,106.325,104.325,103.575,101.575,100.075,101.0725,101.527,101.40075,101.40075,250.32,37.9722,128.525
1766910833.702155,104.325,102.325,101.075,106.325,104.325,103.575,101.575,100.075,101.0725,101.527,101.40075,101.40075,250.32,37.9722,128.525
1766910833.7121162,104.825,103.075,101.075,106.325,104.075,103.575,101.575,100.075,101.0725,101.4765,101.40075,101.45125,249.375,36.53580000000001,129.205
1766910833.722088,104.825,103.075,101.075,106.325,104.075,103.575,101.575,100.075,101.0725,101.4765,101.40075,101.45125,249.375,36.53580000000001,129.205
